CAR;NAME;NSQAR;CAR;CARINSEE;LAR;NSQCO;SURFACE;PERIMETRE;GEO_X;GEO_Y;;
3;Temple;750000003;3;3;3eme Ardt;750001537;1170882828;4519264;4.886.287.238;2.360.000.986;;
19;Buttes-Chaumont;750000019;19;19;19eme Ardt;750001537;6792651129;11253182;48.887.076;238.482.096;;
14;Observatoire;750000014;14;14;14eme Ardt;750001537;5614877309;10317483;488.292.445;2.326.542.044;;
10;Entrepot;750000010;10;10;10eme Ardt;750001537;2891739442;6739375;4.887.613.004;2.360.728.488;;
12;Reuilly;750000012;12;12;12eme Ardt;750001537;16314782637;24089666;4.883.497.438;2.421.324.901;;
16;Passy;750000016;16;16;16eme Ardt;750001537;16372542129;17416110;4.886.039.211;2.261.970.788;;
11;Popincourt;750000011;11;11;11eme Ardt;750001537;3665441552;8282012;4.885.905.922;2.380.058.308;;
2;Bourse;750000002;2;2;2eme Ardt;750001537;991153745;4554104;4.886.827.922;2.342.802.547;;
4;Hotel-de-Ville;750000004;4;4;4eme Ardt;750001537;1600585632;5420908;4.885.434.143;235.762.962;;
17;Batignolles-Monceau;750000017;17;17;17eme Ardt;750001537;5668834504;10775580;4.888.732.652;2.306.776.991;;
18;Buttes-Montmartre;750000018;18;18;18eme Ardt;750001537;5996051308;9916464;4.889.256.927;234.816.052;;
1;Louvre;750000001;1;1;1er Ardt;750001537;1824612860;6054937;488.625.627;2.336.443.362;;
5;Pantheon;750000005;5;5;5eme Ardt;750001537;2539374623;6239195;4.884.444.315;235.071.461;;
7;Palais-Bourbon;750000007;7;7;7eme Ardt;750001537;4090057185;8099425;4.885.617.443;2.312.187.691;;
20;Menilmontant;750000020;20;20;20eme Ardt;750001537;5983446037;10704940;4.886.346.058;2.401.188.129;;
8;elysee;750000008;8;8;8eme Ardt;750001537;3880036397;7880533;4.887.272.084;2.312.554.022;;
9;Opera;750000009;9;9;9eme Ardt;750001537;2178303275;6471588;4.887.716.352;2.337.457.543;;
13;Gobelins;750000013;13;13;13eme Ardt;750001537;7149311091;11546547;4.882.838.803;236.227.244;;
15;Vaugirard;750000015;15;15;15eme Ardt;750001537;8494994081;13678798;4.884.008.538;2.292.825.822;;
6;Luxembourg;750000006;6;6;6eme Ardt;750001537;2153095586;6483687;4.884.913.036;2.332.897.999;;
